date,username,tweet
2022-02-13 00:37:44,today_lincoln,  terrible  have any children perished in automobile accidents in the last   years of the covid flu 
2022-02-13 00:37:44,the_real_yucob,trucker protests  french police fire tear gas at those protesting covid    via 
2022-02-13 00:37:44,Willy33565753,  for sure covid    help the country to invest in agriculture as long no bombing in nigeria more improvement 
2022-02-13 00:37:44,Jenna15700674,uhh the pharmacies are so over stocked on covid tests rn they re trying to give them away   at a time
2022-02-13 00:37:44,jeffcalcagno, i had never felt worse   long covid sufferers are struggling with exercise  
2022-02-13 00:37:44,batalysta,and pretty much right on schedule   four new covid    related deaths in ottawa saturday  via 
2022-02-13 00:37:43,cmtjbc, it was a lie from the beginning  the risk is fractionally low  vaccinated people still get covid because it doesn t work   these are facts  i suggest you get on the side of truth quickly facist   freedomconvoy    
2022-02-13 00:37:43,_doglizard,literally the worst thing about covid nineteen is there is nowhere i can go to get my tongue pierced
2022-02-13 00:37:42,DunandVictor,  et pour info en      j ai des tas de gens qui le porte conscieusement et l on chop  au taf m me avec un masque passer  h par jour pr s de covid    a contamine
2022-02-13 00:37:42,enfermero_cesar, ac    vacunas y cero covid
2022-02-13 00:37:42,ldtestino,mscs gets a shout out from sec  cardona as part of the department s arp stars social media campaign   where we will highlight schools  in their own words  doing everything they can to fight covid    and give students  teachers  and families the tools they need to succeed  
2022-02-13 00:37:41,Straigh54166476,freedom convoy  police move in on truckers protesting covid rules at us canada border after injunction issued  via  the protestors may be breaking the law but so is the govt   look up the charter of rights section   subsection   clause b about working
2022-02-13 00:37:41,StevePaul63, do be serious  other pms have done worse and not resigned  john major springs to mind  or blair with his dodgy dossier  amp  the death of dr david kelly  didn t resign  keir had drinks with people illegally  mps ignored covid rules  even reporters did so  no resignations so why bojo 
2022-02-13 00:37:40,ATL_Test_Watch,covid test available today at cvs       pleasant hill rd  duluth  ga        at      pm      pm      pm    
2022-02-13 00:37:40,angrygoatguy, cool  i found your socials from pat flynn and was interested in how you were able to get all the fire products  did you buy in before the prices on vintage went crazy  if you have not made a video about it  maybe speak to what your collection looked like before covid   smiling face with halo 
2022-02-13 00:37:40,TammieWrampe,  probably better than your vaccine   lol  then again  i also take care of myself  i got covid and i literally only lost my taste and smell 
2022-02-13 00:37:39,ThisIsNotRealX, covid restrictions   shouldn t we keep calling it the mandate   ozzies  australians  are protesting the mandate  it sheds light on the fact that this has nothing to do with a supposed pandemic virus  mandate  
2022-02-13 00:37:39,Taram52, it wasn t too long ago they had to send us their covid icu patients  next time they can keep them 
2022-02-13 00:37:39,DiYBioinfo,o que voc  v  nesse gr fico de casos di rios de covid    na dinamarca  eu vejo claramente um plat   deve ser por isso que chamam de fase end mica  o plat  aparece n tido se vc virar a tela    graus 
2022-02-13 00:37:38,Violettgtz, que poca m  ahora todo es covid 
2022-02-13 00:37:37,JSchuurMD, heart disease risk soars after covid   even with a mild case  getvaccinated  and don t listen to the hucksters scaring you about incredibly rare vaccine side effects   
2022-02-13 00:37:37,Armadillito, en m me temps impossible   organiser avec le covid  les restrictions du nombre d invit s y a une certaine logique 
2022-02-13 00:37:37,CMRaulCampillo,dr  wilma wooten has been vital in the fight of covid    as public health officer for    she has been a fixture in sd since      when she began her career as a faculty member in the ucsd dept of family  amp  preventative medicine  she has been with the hhsa since        
2022-02-13 00:37:37,realdentarthur,  and i m probably overdoing it wearing a n   in most situations  but they are actually more comfortable  so why not  i don t wear it at home or outside   except in crowds  which i avoid anyway  not just because of covid 
2022-02-13 00:37:36,haziqariff__,testing positive for covid really showed me who actually cares about me by calling or texting me every day and the people who only pretend to care
2022-02-13 00:37:36,itsrAti0,  that s cool  but how long on the new maps and modes  if game dies don t  even try to put the blame on covid
2022-02-13 00:37:36,jw_lockhart, his covid book came out late october       so i assumed similar pace 
